id,key,value,type
137311946,highway,turning_circle,regular
137312523,highway,turning_circle,regular
137312540,highway,turning_circle,regular
137312811,noexit,yes,regular
137314300,highway,turning_circle,regular
137314757,highway,turning_circle,regular
137314884,highway,turning_circle,regular
137314989,highway,turning_circle,regular
137315367,highway,turning_circle,regular
137316650,highway,turning_circle,regular
137317265,highway,turning_circle,regular
137317684,highway,turning_circle,regular
137318202,source,Bing,regular
137318202,highway,turning_circle,regular
137318934,highway,turning_circle,regular
137320024,highway,turning_circle,regular
137321203,highway,turning_circle,regular
137321322,highway,turning_circle,regular
137322686,highway,turning_circle,regular
137323055,highway,traffic_signals,regular
137323510,highway,turning_circle,regular
137323900,highway,turning_circle,regular
137324868,source,Yahoo,regular
137324868,highway,turning_circle,regular
137325110,source,Bing,regular
137325110,highway,turning_circle,regular
137325713,highway,turning_circle,regular
137325814,source,Yahoo,regular
137325814,highway,turning_circle,regular
137325994,highway,turning_circle,regular
137326073,source,Bing,regular
137326073,highway,turning_circle,regular
137326565,highway,turning_circle,regular
137328104,highway,crossing,regular
137330162,highway,turning_circle,regular
137330727,source,bing,regular
137330727,highway,turning_circle,regular
137330947,highway,turning_circle,regular
137331487,highway,traffic_signals,regular
137332242,source,Yahoo,regular
137332242,highway,turning_circle,regular
137332923,source,Yahoo,regular
137332923,highway,turning_circle,regular
137333022,highway,turning_circle,regular
137333316,highway,turning_circle,regular
137334109,highway,turning_circle,regular
137334241,highway,turning_circle,regular
137334678,highway,turning_circle,regular
137334708,noexit,yes,regular
137335090,highway,turning_circle,regular
137335955,highway,turning_circle,regular
137336164,highway,turning_circle,regular
137336944,highway,turning_circle,regular
137337958,highway,turning_circle,regular
137338587,noexit,yes,regular
137338744,noexit,yes,regular
137338930,highway,turning_circle,regular
137343245,highway,turning_circle,regular
137343450,highway,turning_circle,regular
137343746,highway,turning_circle,regular
137344094,source,Yahoo,regular
137344094,highway,turning_circle,regular
137344207,highway,turning_circle,regular
137344808,highway,turning_circle,regular
137344846,highway,turning_circle,regular
137345123,source,Bing,regular
137345123,highway,turning_circle,regular
137346034,highway,traffic_signals,regular
137346034,crossing,traffic_signals,regular
137347310,highway,turning_circle,regular
137347358,highway,turning_circle,regular
137347605,highway,turning_circle,regular
137348583,highway,turning_circle,regular
137349534,highway,turning_circle,regular
137349753,highway,turning_circle,regular
137350047,highway,turning_circle,regular
137350068,highway,turning_circle,regular
137350721,highway,turning_circle,regular
137350869,noexit,yes,regular
137351160,source,Yahoo,regular
137351160,highway,turning_circle,regular
137351265,highway,turning_circle,regular
137351504,noexit,yes,regular
137351860,highway,turning_circle,regular
137352135,highway,turning_circle,regular
137352685,highway,turning_circle,regular
137353279,railway,level_crossing,regular
137353279,bell,no,crossing
137353279,light,no,crossing
137353279,barrier,no,crossing
137356658,source,Bing,regular
137356658,highway,turning_circle,regular
137357600,highway,turning_circle,regular
137358854,highway,turning_circle,regular
137359037,highway,turning_circle,regular
137359152,highway,turning_circle,regular
137359319,highway,turning_circle,regular
137360697,highway,turning_circle,regular
137361011,source,bing,regular
137361011,highway,turning_circle,regular
137361454,highway,turning_circle,regular
137361781,source,Bing,regular
137361781,highway,turning_circle,regular
137361851,source,Yahoo,regular
137361851,highway,turning_circle,regular
137362059,highway,turning_circle,regular
137362757,highway,turning_circle,regular
137362905,highway,turning_circle,regular
137362949,highway,turning_circle,regular
137363312,highway,turning_circle,regular
137363396,source,Bing,regular
137363396,highway,turning_circle,regular
137363744,highway,turning_circle,regular
